what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1330303470107
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1330303470112
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1330303470143
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1330303470146
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1330303470147
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1330303470156
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1330303470171
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1330303470242
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1330303470243
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1330303470285
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1330303470286
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1330303470288
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1330303470289
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1330303470290
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1330303470292
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1330303470300
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1330303470740
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1330303470807
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1330303470808
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201109151620,"org.eclipse.cdt.codan.ui.cxx",1330303470809
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1330303470810
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1330303470812
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1330303470813
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1330303470900
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1330303470901
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1330303470902
os,sysinfo,,,"win32",1330303470908
arch,sysinfo,,,"x86_64",1330303470908
ws,sysinfo,,,"win32",1330303470908
locale,sysinfo,,,"en_GB",1330303470908
processors,sysinfo,,,"2",1330303470908
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1330303470908
java.runtime.version,sysinfo,,,"1.6.0_27-b07",1330303470908
java.specification.name,sysinfo,,,"Java Platform API Specification",1330303470908
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330303470908
java.specification.version,sysinfo,,,"1.6",1330303470908
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1330303470908
java.version,sysinfo,,,"1.6.0_27",1330303470908
java.vm.info,sysinfo,,,"mixed mode",1330303470908
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1330303470908
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1330303470908
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330303470908
java.vm.specification.version,sysinfo,,,"1.0",1330303470908
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1330303470908
java.vm.version,sysinfo,,,"20.2-b06",1330303470908
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1330303470975
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1330303471721
